school_code,school,is_district_office,school_and_district
5094,Prairie View Elementary,f,Prairie View Elementary - Mead
5096,Children's Village,f,Children's Village - West Valley (Yak)
5097,K-12 Ellensburg Learning Center,f,K-12 Ellensburg Learning Center - Ellensburg
5098,Kent Phoenix Academy,f,Kent Phoenix Academy - Kent
5099,Cavelero Mid High School,f,Cavelero Mid High School - Lake Stevens
5100,Little Cedars Elementary School,f,Little Cedars Elementary School - Snohomish
5101,Health Sciences & Human Services,f,Health Sciences & Human Services - Highline
5102,Arts & Academics Academy,f,Arts & Academics Academy - Highline
5103,Technology - Engineeering & Communications,f,Technology - Engineeering & Communications - Highline
5104,Hayes Freedom High School,f,Hayes Freedom High School - Camas
5106,Phoenix High School,f,Phoenix High School - Kennewick
5107,Federal Way Running Start Home School,f,Federal Way Running Start Home School - Federal Way
5108,Lincoln Academy,f,Lincoln Academy - Stanwood
5374,SVSD OPEN DOORS,f,SVSD OPEN DOORS - Snoqualmie Valley
5111,Union High School,f,Union High School - Evergreen (Clark)
5112,Mount Baker Academy,f,Mount Baker Academy - Mount Baker
5113,Spokane Regional Health District,f,Spokane Regional Health District - Spokane
5114,Sky Valley Options,f,Sky Valley Options - Sultan
5115,Roosevelt Elementary School,f,Roosevelt Elementary School - Port Angeles
5116,Career Link,f,Career Link - Highline
5118,Pend Oreille River School,f,Pend Oreille River School - Newport
5119,Valley View Early Childhood Center,f,Valley View Early Childhood Center - Highline
5120,Mattawa Elementary Pre-School,f,Mattawa Elementary Pre-School - Wahluke
5122,Mead PreSchool,f,Mead PreSchool - Mead
5123,Grove Elementary,f,Grove Elementary - Marysville
5124,BIRTH TO 2 PRESCHOOL,f,BIRTH TO 2 PRESCHOOL - Deer Park
5125,Wade King Elementary School,f,Wade King Elementary School - Bellingham
5126,Birth To Three,f,Birth To Three - Cheney
5128,Glacier Peak High School,f,Glacier Peak High School - Snohomish
5129,Learning Support,f,Learning Support - Franklin Pierce
5130,Eastmont Preschools,f,Eastmont Preschools - Eastmont
5131,Tukes Valley Middle School,f,Tukes Valley Middle School - Battle Ground
5132,Tukes Valley Primary,f,Tukes Valley Primary  - Battle Ground
5133,Chief Umtuch Middle,f,Chief Umtuch Middle - Battle Ground
5135,Twin Falls Middle School,f,Twin Falls Middle School - Snoqualmie Valley
5136,Endeavour Elementary School,f,Endeavour Elementary School - Evergreen (Clark)
5137,Sun Valley Elementary,f,Sun Valley Elementary - Sunnyside
5138,Technology Access Foundation Academy,f,Technology Access Foundation Academy - Federal Way
5139,Carson Elementary,f,Carson Elementary - Lake Washington
5141,Spanaway Elementary Preschool,f,Spanaway Elementary Preschool - Bethel
5142,Glacier View Junior High,f,Glacier View Junior High - Puyallup
5144,Wahluke Junior High,f,Wahluke Junior High - Wahluke
5146,CVA - Onalaska,f,CVA - Onalaska - Onalaska
5149,Vancouver Virtual Learning Academy,f,Vancouver Virtual Learning Academy - Vancouver
5150,Birth to Age 2,f,Birth to Age 2 - Kent
5151,Okanogan Outreach Alternative School,f,Okanogan Outreach Alternative School - Okanogan
5152,Columbia Virtual Academy - Sultan,f,Columbia Virtual Academy - Sultan - Sultan
5153,Yakima Online,f,Yakima Online - Yakima
5155,Columbia Virtual Academy-Orient,f,Columbia Virtual Academy-Orient - Orient
5157,Prescott Special Ed Pre-school,f,Prescott Special Ed Pre-school - Prescott
5158,Grass Valley Elementary,f,Grass Valley Elementary - Camas
5159,Frederickson Elementary,f,Frederickson Elementary - Bethel
5160,Nelson Elementary School,f,Nelson Elementary School - Bethel
5161,Special Services,f,Special Services - Bremerton
5163,Career Academy at Truman High School,f,Career Academy at Truman High School - Federal Way
5164,Chiawana High School,f,Chiawana High School - Pasco
5165,Three Rivers Home Link,f,Three Rivers Home Link - Richland
5167,Chambers Prairie Elementary School,f,Chambers Prairie Elementary School - North Thurston
5168,Aspire Middle School,f,Aspire Middle School - North Thurston
5169,Science and Math Institute,f,Science and Math Institute - Tacoma
5170,First Creek Middle School,f,First Creek Middle School - Tacoma
5171,Crossroads High School,f,Crossroads High School - Granite Falls
5172,Puget Sound High School,f,Puget Sound High School - Highline
5173,Sage Point Elementary School,f,Sage Point Elementary School - Moses Lake
5175,Hazel Wolf K-8,f,Hazel Wolf K-8 - Seattle
5176,Cap Sante High School,f,Cap Sante High School - Anacortes
5178,Panther Lake Elementary School,f,Panther Lake Elementary School - Kent
5179,Ocean Beach Early Childhood Center,f,Ocean Beach Early Childhood Center - Ocean Beach
5180,Columbia Virtual Academy - Kettle Falls,f,Columbia Virtual Academy - Kettle Falls - Kettle Falls
5181,Snoqualmie Access,f,Snoqualmie Access - Snoqualmie Valley
5184,Tacoma Pierce County Education Center,f,Tacoma Pierce County Education Center - Tacoma
5186,Excel High School,f,Excel High School - Ellensburg
5187,HEAD START/ECEAP PRESCHOOL,f,HEAD START/ECEAP PRESCHOOL - Walla Walla
5190,Cowlitz Prairie Academy,f,Cowlitz Prairie Academy - Toledo
5191,Hoquiam Homelink School,f,Hoquiam Homelink School - Hoquiam
5192,Special Services,f,Special Services - Tacoma
5194,Kelso Virtual Academy,f,Kelso Virtual Academy - Kelso
5195,Washington Virtual Academy Omak Elementary,f,Washington Virtual Academy Omak Elementary - Omak
5196,Washington Virtual Academy Omak Middle School,f,Washington Virtual Academy Omak Middle School - Omak
5197,Washington Virtual Academy Omak High School,f,Washington Virtual Academy Omak High School - Omak
5200,Pacific Cascade Middle School,f,Pacific Cascade Middle School - Issaquah
5201,Creekside Elementary,f,Creekside Elementary - Issaquah
5203,McDonald International School,f,McDonald International School - Seattle
5204,Queen Anne Elementary,f,Queen Anne Elementary - Seattle
5205,Sand Point Elementary,f,Sand Point Elementary - Seattle
5206,Liberty Middle School,f,Liberty Middle School - Bethel
5207,Cascadia Elementary,f,Cascadia Elementary - Ferndale
5208,Twin Harbors - A Branch of New Market Skills Center,f,Twin Harbors - A Branch of New Market Skills Center - Aberdeen
5209,Academy of Const and Engineering,f,Academy of Const and Engineering - Marysville
5210,Bio Med Academy,f,Bio Med Academy - Marysville
5211,Intl Sch of Communications,f,Intl Sch of Communications - Marysville
5213,Marysville Pilchuck High School,f,Marysville Pilchuck High School - Marysville
5214,School for the Entrepreneur,f,School for the Entrepreneur - Marysville
5216,Bethel Elementary Learning Academy,f,Bethel Elementary Learning Academy - Bethel
5217,WSD Columbia Basin J.C.,f,WSD Columbia Basin J.C. - Wellpinit
5218,Federal Way Public School ECEAP,f,Federal Way Public School ECEAP - Federal Way
5219,Federal Way Public Schools Headstart,f,Federal Way Public Schools Headstart - Federal Way
5220,Cottonwood Elementary,f,Cottonwood Elementary - Kennewick
