school_code,school,is_district_office,school_and_district
2281,Castle Rock High School,f,Castle Rock High School - Castle Rock
2283,Oakville High School,f,Oakville High School - Oakville
2285,Roosevelt High School,f,Roosevelt High School - Seattle
2287,North Bend Elementary School,f,North Bend Elementary School - Snoqualmie Valley
2288,Snoqualmie Elementary,f,Snoqualmie Elementary - Snoqualmie Valley
2289,Redmond Elementary,f,Redmond Elementary - Lake Washington
2290,Winlock Miller Elementary,f,Winlock Miller Elementary - Winlock
2291,Oakview Elementary School,f,Oakview Elementary School - Centralia
2292,North River School,f,North River School - North River
2294,Goodman Middle School,f,Goodman Middle School - Peninsula
2295,Mount Vernon High School,f,Mount Vernon High School - Mt Vernon
2296,Wilson Elementary,f,Wilson Elementary - Spokane
2297,Springdale Elementary,f,Springdale Elementary - Mary Walker
2299,Charles Francis Adams High School,f,Charles Francis Adams High School - Clarkston
2301,Columbia Elementary School,f,Columbia Elementary School - Wenatchee
2302,Dayton High School,f,Dayton High School - Dayton
2304,Coulee City MS,f,Coulee City MS - Coulee/Hartline
2305,Miller Junior High,f,Miller Junior High - Aberdeen
2306,Garfield High School,f,Garfield High School - Seattle
2307,Bailey Gatzert Elementary School,f,Bailey Gatzert Elementary School - Seattle
2308,Kirkland Middle School,f,Kirkland Middle School - Lake Washington
2310,Hood Canal Elementary School,f,Hood Canal Elementary School - Hood Canal
2311,Stewart Elementary,f,Stewart Elementary - Puyallup
2312,Finch Elementary,f,Finch Elementary - Spokane
2314,Washington Middle School,f,Washington Middle School - Yakima
2315,CASHMERE MIDDLE SCHOOL,f,CASHMERE MIDDLE SCHOOL - Cashmere
2317,Chelan Middle School,f,Chelan Middle School - Lake Chelan
2318,Lincoln Elementary School,f,Lincoln Elementary School - Vancouver
2319,Kessler Elementary School,f,Kessler Elementary School - Longview
2321,Dunlap Elementary School,f,Dunlap Elementary School - Seattle
2322,Montlake Elementary School,f,Montlake Elementary School - Seattle
2325,Highline High School,f,Highline High School - Highline
2326,Washington Elementary School,f,Washington Elementary School - Auburn
2328,Cle Elum Roslyn Elementary - Cle Elum,f,Cle Elum Roslyn Elementary - Cle Elum-Roslyn
2329,Cle Elum Roslyn High School - Cle Elum,f,Cle Elum Roslyn High School - Cle Elum-Roslyn
2330,Columbia High School,f,Columbia High School - White Salmon
2331,Onalaska High School,f,Onalaska High School - Onalaska
2334,Meeker Elementary,f,Meeker Elementary - Puyallup
2335,Madison Headstart,f,Madison Headstart - Tacoma
2338,Jason Lee,f,Jason Lee - Tacoma
2340,Midland Elementary,f,Midland Elementary - Franklin Pierce
2341,Nine Mile Falls Elementary,f,Nine Mile Falls Elementary - Nine Mile Falls
2342,Lincoln Elementary School,f,Lincoln Elementary School - Olympia
2343,Mount Baker Senior High,f,Mount Baker Senior High - Mount Baker
2344,East Valley High School,f,East Valley High School - East Valley (Yak)
2345,Mcclure Elementary School,f,Mcclure Elementary School - Grandview
2347,Mission View Elementary School,f,Mission View Elementary School - Wenatchee
2349,Forks Junior-Senior High School,f,Forks Junior-Senior High School - Quillayute Valley
2353,Maple Elementary School,f,Maple Elementary School - Seattle
2355,Evaline Elementary School,f,Evaline Elementary School - Evaline
2357,Raymond Jr Sr High School,f,Raymond Jr Sr High School - Raymond
2358,Stanley,f,Stanley - Tacoma
2359,Stewart,f,Stewart - Tacoma
2360,Orting Primary School,f,Orting Primary School - Orting
2361,Weyerhaeuser Elementary,f,Weyerhaeuser Elementary - Eatonville
2362,Burlington Edison High School,f,Burlington Edison High School - Burlington Edison
2364,North Middle School,f,North Middle School - Everett
2365,Columbia Elementary School,f,Columbia Elementary School - Bellingham
2367,River View High School,f,River View High School - Finley
2368,Jefferson Elementary,f,Jefferson Elementary - Port Angeles
2369,Columbia Valley Garden Elem Schl,f,Columbia Valley Garden Elem Schl - Longview
2370,Saint Helens Elementary,f,Saint Helens Elementary - Longview
2371,Hamilton International Middle School,f,Hamilton International Middle School - Seattle
2372,Bryant Elementary School,f,Bryant Elementary School - Seattle
2377,Gray,f,Gray - Tacoma
2379,Edison Elementary - Burlington/Edison,f,Edison Elementary - Burlington/Edison - Burlington Edison
2380,Central Elementary School,f,Central Elementary School - Sedro Woolley
2381,Arlington Elementary,f,Arlington Elementary - Spokane
2385,Kettle Falls Elementary School,f,Kettle Falls Elementary School - Kettle Falls
2386,Waitsburg High School,f,Waitsburg High School - Waitsburg
2387,Sunnyland Elementary School,f,Sunnyland Elementary School - Bellingham
2388,Selah High School,f,Selah High School - Selah
2389,Mount Adams Middle School,f,Mount Adams Middle School - Mount Adams
2390,Ridgefield High School,f,Ridgefield High School - Ridgefield
2391,Hoquiam Middle School,f,Hoquiam Middle School - Hoquiam
2392,Cleveland High School STEM,f,Cleveland High School STEM - Seattle
2394,Cascade Middle School,f,Cascade Middle School - Auburn
2395,Bainbridge High School,f,Bainbridge High School - Bainbridge
2396,Pateros Elementary,f,Pateros Elementary - Pateros
2397,Pateros High School,f,Pateros High School - Pateros
2398,Central Avenue Elementary,f,Central Avenue Elementary - Franklin Pierce
2399,Spanaway Elementary,f,Spanaway Elementary - Bethel
2400,Stanwood Middle School,f,Stanwood Middle School - Stanwood
2401,Libby Center,f,Libby Center - Spokane
2402,Mead Senior High School,f,Mead Senior High School - Mead
2404,Jenkins Junior/Senior High,f,Jenkins Junior/Senior High - Chewelah
2405,Valley School,f,Valley School - Valley
2406,Griffin School,f,Griffin School - Griffin
2407,Alternative Education Program,f,Alternative Education Program - Walla Walla
2410,Franklin Middle School,f,Franklin Middle School - Yakima
2415,Battle Ground High School,f,Battle Ground High School - Battle Ground
2416,R A Long High School,f,R A Long High School - Longview
2417,Federal Way High School,f,Federal Way High School - Federal Way
2418,Des Moines Elementary,f,Des Moines Elementary - Highline
2419,Vashon Island High School,f,Vashon Island High School - Vashon Island
2422,Oroville Elementary,f,Oroville Elementary - Oroville
2423,Cusick Jr Sr High School,f,Cusick Jr Sr High School - Cusick
2425,Clover Park High School,f,Clover Park High School - Clover Park
2426,Lake Stevens Sr High School,f,Lake Stevens Sr High School - Lake Stevens
2428,Snohomish High School,f,Snohomish High School - Snohomish
2430,Deer Park Elementary,f,Deer Park Elementary - Deer Park
2431,Birchwood Elementary School,f,Birchwood Elementary School - Bellingham
2432,Oakesdale High School,f,Oakesdale High School - Oakesdale
2433,Ridgeview Elementary,f,Ridgeview Elementary - Yakima
2434,Asotin Jr Sr High - Asotin,f,Asotin Jr Sr High - Asotin-Anatone
2435,Madison Middle School,f,Madison Middle School - Seattle
2437,Laurelhurst Elementary School,f,Laurelhurst Elementary School - Seattle
2439,Bryn Mawr Elementary School,f,Bryn Mawr Elementary School - Renton
2441,Adna Middle/High School,f,Adna Middle/High School - Adna
2442,R E Bennett Elementary,f,R E Bennett Elementary - Chehalis
2443,Odessa High School,f,Odessa High School - Odessa
2447,Cheney Middle School,f,Cheney Middle School - Cheney
2448,Garfield Elementary School,f,Garfield Elementary School - Olympia
2449,McDermoth Elementary,f,McDermoth Elementary - Aberdeen
2450,Daniel Bagley Elementary School,f,Daniel Bagley Elementary School - Seattle
2453,Morgan Middle School,f,Morgan Middle School - Ellensburg
2457,Parkside Elementary,f,Parkside Elementary - Tenino
2458,Central Elementary,f,Central Elementary - Ferndale
2459,Nooksack Valley High School,f,Nooksack Valley High School - Nooksack Valley
2462,Loyal Heights Elementary School,f,Loyal Heights Elementary School - Seattle
2466,Carbonado Historical School 19,f,Carbonado Historical School 19 - Carbonado
2467,Anacortes High School,f,Anacortes High School - Anacortes
2468,Rainier Senior High School,f,Rainier Senior High School - Rainier
2469,Outlook Elementary School,f,Outlook Elementary School - Sunnyside
2471,Sequim Senior High,f,Sequim Senior High - Sequim
2472,Wilson Creek Elementary,f,Wilson Creek Elementary - Wilson Creek
2473,Wilson Creek High,f,Wilson Creek High - Wilson Creek
2474,Quilcene High And Elementary,f,Quilcene High And Elementary - Quilcene
2475,Renton Senior High School,f,Renton Senior High School - Renton
2476,Poulsbo Middle School,f,Poulsbo Middle School - North Kitsap
2478,Reardan Middle-Senior High School,f,Reardan Middle-Senior High School - Reardan
2479,Rogers High School,f,Rogers High School - Spokane
2480,Loon Lake Elementary School,f,Loon Lake Elementary School - Loon Lake
2481,Yelm Middle School,f,Yelm Middle School - Yelm
2484,Green Mountain School,f,Green Mountain School - Green Mountain
2485,Carnation Elementary School,f,Carnation Elementary School - Riverview
2487,Boston Harbor Elementary,f,Boston Harbor Elementary - Olympia
2488,Ferndale High School,f,Ferndale High School - Ferndale
2489,Sumas Elementary,f,Sumas Elementary - Nooksack Valley
2491,Queets-Clearwater Elementary - Queets,f,Queets-Clearwater Elementary - Queets-Clearwater
2493,C O Sorenson,f,C O Sorenson - Northshore
2494,Nespelem Elementary,f,Nespelem Elementary - Nespelem
2495,Waller Road Elementary,f,Waller Road Elementary - Puyallup
2496,Firgrove Elementary,f,Firgrove Elementary - Puyallup
2497,Spinning Elementary,f,Spinning Elementary - Puyallup
2498,Maplewood Elementary,f,Maplewood Elementary - Puyallup
2499,Pullman High School,f,Pullman High School - Pullman
2501,Lincoln Middle School,f,Lincoln Middle School - Clarkston
2502,Palisades Elementary School,f,Palisades Elementary School - Palisades
2503,Port Townsend High School,f,Port Townsend High School - Port Townsend
2505,Wide Hollow Elementary,f,Wide Hollow Elementary - West Valley (Yak)
2506,Harrah Elementary School,f,Harrah Elementary School - Mount Adams
2507,Asotin Elementary - Asotin,f,Asotin Elementary - Asotin-Anatone
2508,Prosser High School,f,Prosser High School - Prosser
2509,Hathaway Elementary,f,Hathaway Elementary - Washougal
2510,Quincy Middle School,f,Quincy Middle School - Quincy
2511,South Whidbey Middle,f,South Whidbey Middle - South Whidbey
2512,Skykomish Elementary School,f,Skykomish Elementary School - Skykomish
2513,Skykomish High School,f,Skykomish High School - Skykomish
2514,Thorp Elem & Jr Sr High,f,Thorp Elem & Jr Sr High - Thorp
2516,Boistfort Elem,f,Boistfort Elem - Boistfort
2517,Hilltop School,f,Hilltop School - Ocean Beach
2518,Newport High School,f,Newport High School - Newport
2519,Woodland Elementary,f,Woodland Elementary - Puyallup
2520,Friday Harbor Elementary School,f,Friday Harbor Elementary School - San Juan
2521,Big Lake Elementary School,f,Big Lake Elementary School - Sedro Woolley
2522,La Conner Elementary,f,La Conner Elementary - La Conner
2523,Arlington High School,f,Arlington High School - Arlington
2525,Chattaroy Elementary,f,Chattaroy Elementary - Riverside
2527,Rochester Primary School,f,Rochester Primary School - Rochester
2528,Edison Elementary School - Walla Walla,f,Edison Elementary School - Walla Walla - Walla Walla
2624,Wallace Elementary,f,Wallace Elementary - Kelso
2529,Roosevelt Elementary School,f,Roosevelt Elementary School - Yakima
2530,Moxee Elementary,f,Moxee Elementary - East Valley (Yak)
2531,Granger Middle School,f,Granger Middle School - Granger
2532,White Swan High School,f,White Swan High School - Mount Adams
2539,Grainger Elementary,f,Grainger Elementary - Okanogan
2542,Willapa Valley Middle-High,f,Willapa Valley Middle-High - Willapa Valley
2545,Silver Lake Elementary - Everett,f,Silver Lake Elementary - Everett - Everett
2546,Maltby Elementary,f,Maltby Elementary - Monroe
2549,Wellpinit Elementary School,f,Wellpinit Elementary School - Wellpinit
2550,Wellpinit High School,f,Wellpinit High School - Wellpinit
2552,Michael T Simmons Elementary,f,Michael T Simmons Elementary - Tumwater
2553,Bellingham High School,f,Bellingham High School - Bellingham
2554,Meridian High School,f,Meridian High School - Meridian
2555,Grandview High School,f,Grandview High School - Grandview
2558,La Center Elementary,f,La Center Elementary - Lacenter
2560,Toutle Lake High School,f,Toutle Lake High School - Toutle Lake
2561,Kalama Middle School,f,Kalama Middle School - Kalama
2562,Bridgeport Elementary,f,Bridgeport Elementary - Bridgeport
2563,Rock Island Elementary,f,Rock Island Elementary - Eastmont
2564,Showalter Middle School,f,Showalter Middle School - Tukwila
2565,Meridian Elementary School,f,Meridian Elementary School - Kent
2569,Kittitas Elementary School,f,Kittitas Elementary School - Kittitas
2570,Walter Strom Middle School - Cle Elum,f,Walter Strom Middle School - Cle Elum-Roslyn
2572,Mossyrock Elementary School,f,Mossyrock Elementary School - Mossyrock
2575,Edgemont Jr High,f,Edgemont Jr High - Puyallup
2576,Clover Creek Elementary,f,Clover Creek Elementary - Bethel
2577,Concrete Elementary,f,Concrete Elementary - Concrete
2578,Conway School,f,Conway School - Conway
2579,Lincoln Elementary School,f,Lincoln Elementary School - Mt Vernon
2580,Granite Falls High School,f,Granite Falls High School - Granite Falls
2581,Stanwood High School,f,Stanwood High School - Stanwood
2584,Irene Reither Elementary School,f,Irene Reither Elementary School - Meridian
2585,Acme Elementary,f,Acme Elementary - Mount Baker
2587,Franklin Elementary,f,Franklin Elementary - Pullman
2588,Colton School,f,Colton School - Colton
2591,Naches Valley High School,f,Naches Valley High School - Naches Valley
2592,Adams Elementary School,f,Adams Elementary School - Yakima
2594,Neah Bay Elementary School,f,Neah Bay Elementary School - Cape Flattery
2596,Rose Valley Elementary,f,Rose Valley Elementary - Kelso
2597,Kennydale Elementary School,f,Kennydale Elementary School - Renton
2601,Snohomish Detention Center,f,Snohomish Detention Center - ESD  189
2602,Keller Elementary School,f,Keller Elementary School - Keller
2603,Inchelium High School,f,Inchelium High School - Inchelium
2605,Wishram High And Elementary Schl,f,Wishram High And Elementary Schl - Wishram
2607,Custer Elem,f,Custer Elem - Ferndale
2608,Garfield Elementary School,f,Garfield Elementary School - Toppenish
2609,Forks Middle School,f,Forks Middle School - Quillayute Valley
2610,Hough Elementary School,f,Hough Elementary School - Vancouver
2612,Fircrest Residential Habilitation,f,Fircrest Residential Habilitation - Shoreline
2613,West Hills S.T.E.M. Academy,f,West Hills S.T.E.M. Academy - Bremerton
2615,Central Kitsap High School,f,Central Kitsap High School - Central Kitsap
2616,Toledo High School,f,Toledo High School - Toledo
2620,Lyman Elementary School,f,Lyman Elementary School - Sedro Woolley
2621,McLane Elementary School,f,McLane Elementary School - Olympia
2622,Palouse Elementary,f,Palouse Elementary - Palouse
2625,Coupeville High School,f,Coupeville High School - Coupeville
2632,Lopez Middle High School,f,Lopez Middle High School - Lopez
2633,Yelm High School 12,f,Yelm High School 12 - Yelm
2634,Palouse High School,f,Palouse High School - Palouse
2635,Lincoln Elementary School,f,Lincoln Elementary School - Toppenish
2636,Early Childhood Education Center,f,Early Childhood Education Center - Vancouver
2637,Fruit Valley Elementary School,f,Fruit Valley Elementary School - Vancouver
2639,White Center Heights Elementary,f,White Center Heights Elementary - Highline
2640,Highlands Elementary School,f,Highlands Elementary School - Renton
2641,East Port Orchard Elementary,f,East Port Orchard Elementary - South Kitsap
2642,Jefferson Elementary,f,Jefferson Elementary - Richland
2643,Harney Elementary School,f,Harney Elementary School - Vancouver
2644,Peter S Ogden Elementary,f,Peter S Ogden Elementary - Vancouver
2645,West Seattle Elementary School,f,West Seattle Elementary School - Seattle
2650,Orchard Heights Elementary,f,Orchard Heights Elementary - South Kitsap
2651,Tillicum Elementary School,f,Tillicum Elementary School - Clover Park
2652,Lakeview Hope Academy,f,Lakeview Hope Academy - Clover Park
2653,Trent School,f,Trent School - East Valley (Spok
2656,Marcus Whitman Elementary,f,Marcus Whitman Elementary - Richland
2657,Lewis & Clark Elementary School,f,Lewis & Clark Elementary School - Richland
2659,Terminal Park Elementary School,f,Terminal Park Elementary School - Auburn
2662,Belfair Elementary,f,Belfair Elementary - North Mason
2664,Gess Elementary,f,Gess Elementary - Chewelah
2665,Broadway Learning Center,f,Broadway Learning Center - Longview
2666,Orondo Elementary and Middle School,f,Orondo Elementary and Middle School - Orondo
2667,View Ridge Elementary School,f,View Ridge Elementary School - Seattle
2668,Davenport Elementary,f,Davenport Elementary - Davenport
2669,Madison Elementary,f,Madison Elementary - Everett
2671,Amboy Middle School,f,Amboy Middle School - Battle Ground
2673,Frontier Middle School,f,Frontier Middle School - Moses Lake
2676,Trout Lake School,f,Trout Lake School - Trout Lake
2677,Goldendale Primary School,f,Goldendale Primary School - Goldendale
2678,Morton Elementary School,f,Morton Elementary School - Morton
2679,Tonasket High School,f,Tonasket High School - Tonasket
2681,Peninsula High School,f,Peninsula High School - Peninsula
2682,Stevenson Elementary - Stevenson,f,Stevenson Elementary - Stevenson-Carson
2687,Nooksack Valley Middle School,f,Nooksack Valley Middle School - Nooksack Valley
2688,Paul Rumburg Elementary,f,Paul Rumburg Elementary - Entiat
2689,Morgen Owings Elementary School,f,Morgen Owings Elementary School - Lake Chelan
2690,Hazel Dell Elementary School,f,Hazel Dell Elementary School - Vancouver
2691,Catlin Elementary,f,Catlin Elementary - Kelso
2693,Coulee City Elementary,f,Coulee City Elementary - Coulee/Hartline
2694,Soap Lake Elementary,f,Soap Lake Elementary - Soap Lake
2695,Parkway School,f,Parkway School - Ephrata
2696,Oak Harbor Elementary,f,Oak Harbor Elementary - Oak Harbor
2697,Chimacum Elementary School,f,Chimacum Elementary School - Chimacum
2699,Hazel Valley Elementary,f,Hazel Valley Elementary - Highline
2701,Bellevue High School,f,Bellevue High School - Bellevue
2702,West Auburn Senior High School,f,West Auburn Senior High School - Auburn
2703,Ridgecrest Elementary,f,Ridgecrest Elementary - Shoreline
2704,Fords Prairie Elementary,f,Fords Prairie Elementary - Centralia
2706,Oroville Middle-High School,f,Oroville Middle-High School - Oroville
2707,Anacortes Middle School,f,Anacortes Middle School - Anacortes
2708,Madison Elementary,f,Madison Elementary - Spokane
2711,Millwood Kindergarten Center,f,Millwood Kindergarten Center - West Valley (Spok
2792,Warden Elementary,f,Warden Elementary - Warden
2712,Waitsburg Elementary School,f,Waitsburg Elementary School - Waitsburg
2713,Blaine Elementary School,f,Blaine Elementary School - Blaine
2714,Union Gap School,f,Union Gap School - Union Gap
2715,Hoover Elementary School,f,Hoover Elementary School - Yakima
2717,Washington Elementary,f,Washington Elementary - Sunnyside
2718,Highland Junior High School,f,Highland Junior High School - Highland
2719,Ritzville Grade School,f,Ritzville Grade School - Ritzville
2721,Carmichael Middle School,f,Carmichael Middle School - Richland
2722,Helen Haller Elementary School,f,Helen Haller Elementary School - Sequim
2723,Minnehaha Elementary School,f,Minnehaha Elementary School - Vancouver
2724,Evergreen High School,f,Evergreen High School - Evergreen (Clark)
2725,Helen Baller Elem,f,Helen Baller Elem - Camas
2726,Olympic Elementary School,f,Olympic Elementary School - Longview
2727,Eastmont Senior High,f,Eastmont Senior High - Eastmont
2728,North Beach Senior High School,f,North Beach Senior High School - North Beach
2729,Eckstein Middle School,f,Eckstein Middle School - Seattle
2730,Arbor Heights Elementary School,f,Arbor Heights Elementary School - Seattle
2733,Lafayette Elementary School,f,Lafayette Elementary School - Seattle
2734,McMicken Heights Elementary,f,McMicken Heights Elementary - Highline
2738,Clark Elementary,f,Clark Elementary - Issaquah
2739,Lake Washington High,f,Lake Washington High - Lake Washington
2741,Lincoln Elementary,f,Lincoln Elementary - Ellensburg
2743,Harrington Elementary School,f,Harrington Elementary School - Harrington
2744,Southside Elementary,f,Southside Elementary - Southside
2745,Evergreen Elementary School,f,Evergreen Elementary School - Shelton
2747,Downing,f,Downing - Tacoma
2748,Kapowsin Elementary,f,Kapowsin Elementary - Bethel
2749,Orcas Island Elementary School,f,Orcas Island Elementary School - Orcas
2750,Orcas Island High School,f,Orcas Island High School - Orcas
2751,Jackson Elementary School,f,Jackson Elementary School - Everett
2752,Whittier Elementary,f,Whittier Elementary - Everett
2754,South Bay Elementary,f,South Bay Elementary - North Thurston
2756,Thompson Elementary School,f,Thompson Elementary School - Grandview
2757,Satus Elementary,f,Satus Elementary - Wapato
2758,Mountainview Elementary,f,Mountainview Elementary - West Valley (Yak)
2760,Peshastin Dryden Elementary,f,Peshastin Dryden Elementary - Cascade
2762,Castle Rock Elementary,f,Castle Rock Elementary - Castle Rock
2763,Robert Gray Elementary,f,Robert Gray Elementary - Aberdeen
2765,Beverly Park Elem at Glendale,f,Beverly Park Elem at Glendale - Highline
2766,Kittitas High School,f,Kittitas High School - Kittitas
2768,Washington Elementary School,f,Washington Elementary School - Centralia
2769,P C Jantz Elementary,f,P C Jantz Elementary - Odessa
2770,Bess Herian Elementary,f,Bess Herian Elementary - Cusick
2771,Lister,f,Lister - Tacoma
2772,Fawcett,f,Fawcett - Tacoma
2773,Fife High School,f,Fife High School - Fife
2774,Mary Purcell Elementary School,f,Mary Purcell Elementary School - Sedro Woolley
2776,North Pines Middle School,f,North Pines Middle School - Central Valley
2778,Roosevelt Elementary School,f,Roosevelt Elementary School - Olympia
2780,Pioneer Middle School,f,Pioneer Middle School - Walla Walla
2783,Hilton Elementary School,f,Hilton Elementary School - Zillah
2785,Chief Joseph Middle School,f,Chief Joseph Middle School - Richland
2786,Jason Lee Elementary School,f,Jason Lee Elementary School - Richland
2787,VALE ELEMENTARY SCHOOL,f,VALE ELEMENTARY SCHOOL - Cashmere
2788,Bridgeport High School,f,Bridgeport High School - Bridgeport
2789,Republic Elementary School,f,Republic Elementary School - Republic
2790,Longfellow Elementary,f,Longfellow Elementary - Pasco
2793,Columbia Ridge Elementary,f,Columbia Ridge Elementary - Ephrata
2795,Auburn Senior High School,f,Auburn Senior High School - Auburn
2796,Juanita Elementary,f,Juanita Elementary - Lake Washington
2797,Kent-Meridian High School,f,Kent-Meridian High School - Kent
2798,David Wolfle Elementary,f,David Wolfle Elementary - North Kitsap
2799,W F West High School,f,W F West High School - Chehalis
2800,Brewster High School,f,Brewster High School - Brewster
2801,Lake Roosevelt Jr/Sr High School,f,Lake Roosevelt Jr/Sr High School - Grand Coulee Dam
2802,Lake Roosevelt Elementary,f,Lake Roosevelt Elementary  - Grand Coulee Dam
2803,Raymond Elementary School,f,Raymond Elementary School - Raymond
2804,Mike Morris Elementary,f,Mike Morris Elementary - South Bend
2805,Lowell,f,Lowell - Tacoma
2806,Reed,f,Reed - Tacoma
2807,Bethel High School,f,Bethel High School - Bethel
2808,Columbia Crest A-STEM Academy,f,Columbia Crest A-STEM Academy - Eatonville
2809,Endeavour Intermediate,f,Endeavour Intermediate - Fife
2810,Concrete High School,f,Concrete High School - Concrete
2811,Lowell Elementary - Everett,f,Lowell Elementary - Everett - Everett
2813,Totem Middle School,f,Totem Middle School - Marysville
2814,Sunset Elementary,f,Sunset Elementary - Cheney
2816,Littlerock Elementary School,f,Littlerock Elementary School - Tumwater
2817,Carl Cozier Elementary School,f,Carl Cozier Elementary School - Bellingham
2818,Gilbert Elementary School,f,Gilbert Elementary School - Yakima
2819,Nob Hill Elementary School,f,Nob Hill Elementary School - Yakima
2821,Terrace Heights Elementary,f,Terrace Heights Elementary - East Valley (Yak)
2822,Ahtanum Valley Elementary,f,Ahtanum Valley Elementary - West Valley (Yak)
2823,Parkway Elementary,f,Parkway Elementary - Clarkston
2824,Eastgate Elementary School,f,Eastgate Elementary School - Kennewick
2825,Westgate Elementary School,f,Westgate Elementary School - Kennewick
2826,Kennewick High School,f,Kennewick High School - Kennewick
2827,Alpine Lakes Elementary,f,Alpine Lakes Elementary - Cascade
2828,Walnut Grove Elementary,f,Walnut Grove Elementary - Vancouver
2829,Mill Plain Elementary School,f,Mill Plain Elementary School - Evergreen (Clark)
2830,Dayton Elementary School,f,Dayton Elementary School - Dayton
2831,Monticello Middle School,f,Monticello Middle School - Longview
2832,Peninsula Elementary,f,Peninsula Elementary - Moses Lake
2833,Knolls Vista Elementary,f,Knolls Vista Elementary - Moses Lake
2834,A J West Elementary,f,A J West Elementary - Aberdeen
2835,Mccleary Elem,f,Mccleary Elem - Mc Cleary
2836,Brinnon Elementary,f,Brinnon Elementary - Brinnon
2838,Catharine Blaine K-8 School,f,Catharine Blaine K-8 School - Seattle
2839,David T. Denny International Middle School,f,David T. Denny International Middle School - Seattle
2841,Lakeland Elementary School,f,Lakeland Elementary School - Federal Way
2842,Shorewood Elementary,f,Shorewood Elementary - Highline
2844,Gregory Heights Elementary,f,Gregory Heights Elementary - Highline
2846,Enatai Elementary School,f,Enatai Elementary School - Bellevue
2847,Clyde Hill Elementary,f,Clyde Hill Elementary - Bellevue
2848,Foster Senior High School,f,Foster Senior High School - Tukwila
2849,Tahoma Senior High School,f,Tahoma Senior High School - Tahoma
2850,Mount Si High School,f,Mount Si High School - Snoqualmie Valley
2851,East Hill Elementary School,f,East Hill Elementary School - Kent
2853,View Ridge Elementary Arts Academy,f,View Ridge Elementary Arts Academy - Bremerton
2854,Hilder Pearson Elementary,f,Hilder Pearson Elementary - North Kitsap
2856,Goldendale High School,f,Goldendale High School - Goldendale
2858,Pe Ell School,f,Pe Ell School - Pe Ell
2859,White Pass Jr. Sr. High School,f,White Pass Jr. Sr. High School - White Pass
2860,Almira Elementary School,f,Almira Elementary School - Almira
2862,Creston Elementary,f,Creston Elementary - Creston
2863,Creston Jr-Sr High School,f,Creston Jr-Sr High School - Creston
2864,Reardan Elementary School,f,Reardan Elementary School - Reardan
2865,Pioneer Middle School,f,Pioneer Middle School - Pioneer
2868,Naselle Elementary,f,Naselle Elementary - Naselle Grays Riv
2870,Karshner Elementary,f,Karshner Elementary - Puyallup
2872,Browns Point,f,Browns Point - Tacoma
2874,Whitman,f,Whitman - Tacoma
2875,Maple Lawn Elementary,f,Maple Lawn Elementary - Sumner
2876,Franklin Pierce High School,f,Franklin Pierce High School - Franklin Pierce
2877,Elk Plain School of Choice,f,Elk Plain School of Choice - Bethel
2878,Discovery Primary School,f,Discovery Primary School - Fife
2879,Friday Harbor High School,f,Friday Harbor High School - San Juan
2880,Washington Elementary School,f,Washington Elementary School - Mt Vernon
2882,Carson Elementary - Stevenson,f,Carson Elementary - Stevenson-Carson
2883,Hawthorne Elementary School - Everett,f,Hawthorne Elementary School - Everett - Everett
2884,Mt. Pilchuck Elementary School,f,Mt. Pilchuck Elementary School - Lake Stevens
2885,Hillcrest Elementary School,f,Hillcrest Elementary School - Lake Stevens
2886,Fairmount Elementary,f,Fairmount Elementary - Mukilteo
2887,Martha Lake Elementary,f,Martha Lake Elementary - Edmonds
2888,Terrace Park Elementary,f,Terrace Park Elementary - Edmonds
2890,Medical Lake High School,f,Medical Lake High School - Medical Lake
2892,Broadway Elementary,f,Broadway Elementary - Central Valley
2893,Julius A Wendt Elementary/John C Thomas Middle School,f,Julius A Wendt Elementary/John C Thomas Middle School - Wahkiakum
2894,Leonard M Jennings Elementary,f,Leonard M Jennings Elementary - Colfax
2895,Garfield Elementary,f,Garfield Elementary - Garfield
2896,Garfield Middle School,f,Garfield Middle School - Garfield
2898,Naches Valley Middle School,f,Naches Valley Middle School - Naches Valley
2899,Mcclure Elementary School Yakima,f,Mcclure Elementary School Yakima - Yakima
2900,Toppenish High School,f,Toppenish High School - Toppenish
2902,Lutacaga Elementary,f,Lutacaga Elementary - Othello
2903,Lind-Ritzville High School,f,Lind-Ritzville High School - Lind
2904,Kiona-Benton City High School,f,Kiona-Benton City High School - Kiona Benton
2905,Whitstran Elementary,f,Whitstran Elementary - Prosser
2906,Housel Middle School,f,Housel Middle School - Prosser
2907,Washington Elementary School,f,Washington Elementary School - Wenatchee
2908,Port Angeles High School,f,Port Angeles High School - Port Angeles
2909,Franklin Elementary,f,Franklin Elementary - Port Angeles
2910,Yacolt Primary,f,Yacolt Primary - Battle Ground
2911,Gause Elementary,f,Gause Elementary - Washougal
2912,Orchards Elementary School,f,Orchards Elementary School - Evergreen (Clark)
2913,Carrolls Elementary,f,Carrolls Elementary - Kelso
2914,Northlake Elementary School,f,Northlake Elementary School - Longview
2915,Kalama Elem School,f,Kalama Elem School - Kalama
2916,Huntington Middle School,f,Huntington Middle School - Kelso
2917,Pasco Senior High School,f,Pasco Senior High School - Pasco
2918,Connell Elem,f,Connell Elem - North Franklin
2919,Pioneer Elementary,f,Pioneer Elementary - Quincy
2920,Ephrata High School,f,Ephrata High School - Ephrata
2921,Lake Quinault School,f,Lake Quinault School - Quinault
