old_name,new_name,note
nonhc_Mathematics_5_Spring_Std Deviation,map_nonhc_math_g5_spring_rit_sd,
nonhc_Reading_5_Spring_Std Deviation,map_nonhc_reading_g5_spring_rit_sd,
nonhc_Mathematics_6_Fall_Std Deviation,map_nonhc_math_g6_fall_rit_sd,
nonhc_Reading_6_Fall_Std Deviation,map_nonhc_reading_g6_fall_rit_sd,
nonhc_Mathematics_6_Spring_Std Deviation,map_nonhc_math_g6_spring_rit_sd,
nonhc_Mathematics_7_Fall_Std Deviation,map_nonhc_math_g7_fall_rit_sd,
nonhc_Reading_7_Fall_Std Deviation,map_nonhc_reading_g7_fall_rit_sd,
nonhc_Mathematics_7_Spring_Std Deviation,map_nonhc_math_g7_spring_rit_sd,
nonhc_Mathematics_8_Fall_Std Deviation,map_nonhc_math_g8_fall_rit_sd,
nonhc_Reading_8_Fall_Std Deviation,map_nonhc_reading_g8_fall_rit_sd,
nonhc_Mathematics_8_Spring_Std Deviation,map_nonhc_math_g8_spring_rit_sd,
nonhc_Reading_8_Spring_Std Deviation,map_nonhc_reading_g8_spring_rit_sd,
nonhc_Reading_6_Spring_Std Deviation,map_nonhc_reading_g6_spring_rit_sd,
nonhc_Reading_7_Spring_Std Deviation,map_nonhc_reading_g7_spring_rit_sd,
nonhc_Mathematics_1_Fall_Number of Students,map_nonhc_math_g1_fall_n_students,
nonhc_Reading_1_Fall_Number of Students,map_nonhc_reading_g1_fall_n_students,
nonhc_Mathematics_1_Spring_Number of Students,map_nonhc_math_g1_spring_n_students,
nonhc_Reading_1_Spring_Number of Students,map_nonhc_reading_g1_spring_n_students,
nonhc_Mathematics_2_Fall_Number of Students,map_nonhc_math_g2_fall_n_students,
nonhc_Reading_2_Fall_Number of Students,map_nonhc_reading_g2_fall_n_students,
nonhc_Mathematics_2_Spring_Number of Students,map_nonhc_math_g2_spring_n_students,
nonhc_Reading_2_Spring_Number of Students,map_nonhc_reading_g2_spring_n_students,
nonhc_Mathematics_3_Fall_Number of Students,map_nonhc_math_g3_fall_n_students,
nonhc_Reading_3_Fall_Number of Students,map_nonhc_reading_g3_fall_n_students,
nonhc_Mathematics_3_Spring_Number of Students,map_nonhc_math_g3_spring_n_students,
nonhc_Reading_3_Spring_Number of Students,map_nonhc_reading_g3_spring_n_students,
nonhc_Mathematics_4_Fall_Number of Students,map_nonhc_math_g4_fall_n_students,
nonhc_Reading_4_Fall_Number of Students,map_nonhc_reading_g4_fall_n_students,
nonhc_Mathematics_4_Spring_Number of Students,map_nonhc_math_g4_spring_n_students,
nonhc_Reading_4_Spring_Number of Students,map_nonhc_reading_g4_spring_n_students,
nonhc_Mathematics_5_Fall_Number of Students,map_nonhc_math_g5_fall_n_students,
nonhc_Reading_5_Fall_Number of Students,map_nonhc_reading_g5_fall_n_students,
nonhc_Mathematics_5_Spring_Number of Students,map_nonhc_math_g5_spring_n_students,
nonhc_Reading_5_Spring_Number of Students,map_nonhc_reading_g5_spring_n_students,
nonhc_Mathematics_6_Fall_Number of Students,map_nonhc_math_g6_fall_n_students,
nonhc_Reading_6_Fall_Number of Students,map_nonhc_reading_g6_fall_n_students,
nonhc_Mathematics_6_Spring_Number of Students,map_nonhc_math_g6_spring_n_students,
nonhc_Mathematics_7_Fall_Number of Students,map_nonhc_math_g7_fall_n_students,
nonhc_Reading_7_Fall_Number of Students,map_nonhc_reading_g7_fall_n_students,
nonhc_Mathematics_7_Spring_Number of Students,map_nonhc_math_g7_spring_n_students,
nonhc_Mathematics_8_Fall_Number of Students,map_nonhc_math_g8_fall_n_students,
nonhc_Reading_8_Fall_Number of Students,map_nonhc_reading_g8_fall_n_students,
